85.24169 - 344,797 - Button.right
85.36217 - 316,819 - Button.right
85.47762 - 313,813 - Button.right
85.58385 - 291,794 - Button.right
86.01131 - 524,647 - Button.right
86.12470 - 524,647 - Button.right
86.23748 - 473,650 - Button.right
86.36429 - 476,651 - Button.right
86.48855 - 487,653 - Button.right
86.62252 - 490,798 - Button.right
86.73069 - 521,850 - Button.right
86.84574 - 520,904 - Button.right
86.96786 - 526,881 - Button.right
87.08518 - 546,861 - Button.right
87.21161 - 682,713 - Button.right
87.32634 - 681,711 - Button.right
87.45162 - 616,663 - Button.right
87.55989 - 593,664 - Button.right
87.67625 - 573,675 - Button.right
87.80260 - 538,702 - Button.right
88.23284 - 795,687 - Button.right
88.32847 - 777,697 - Button.right
88.90456 - 717,483 - Button.right
88.99194 - 701,479 - Button.right
89.10464 - 647,475 - Button.right
89.21250 - 635,476 - Button.right
89.33828 - 629,475 - Button.right
89.43227 - 631,467 - Button.right
89.53434 - 636,416 - Button.right
89.66740 - 636,415 - Button.right
89.78632 - 634,410 - Button.right
89.89849 - 615,406 - Button.right
90.01456 - 573,393 - Button.right
90.12663 - 536,386 - Button.right
90.24655 - 523,383 - Button.right
90.37492 - 507,381 - Button.right
90.52950 - 470,390 - Button.right
90.64858 - 422,413 - Button.right
90.75548 - 329,486 - Button.right
90.89506 - 214,566 - Button.right
91.32502 - 512,584 - Button.right
91.43611 - 522,589 - Button.right
91.54938 - 527,607 - Button.right
91.64634 - 530,609 - Button.right
91.77695 - 797,407 - Button.right
91.88808 - 798,406 - Button.right
92.01360 - 793,407 - Button.right
92.11769 - 760,386 - Button.right
92.21181 - 710,313 - Button.right
92.33792 - 678,301 - Button.right
92.45199 - 674,273 - Button.right
92.57702 - 615,253 - Button.right
92.67696 - 617,249 - Button.right
92.78496 - 623,244 - Button.right
92.90316 - 811,273 - Button.right
93.03017 - 848,352 - Button.right
93.11370 - 860,373 - Button.right
93.23654 - 852,388 - Button.right
93.34996 - 860,438 - Button.right
93.46694 - 844,471 - Button.right
93.56216 - 807,535 - Button.right
93.68120 - 750,587 - Button.right
93.76852 - 737,618 - Button.right
93.90443 - 736,657 - Button.right
94.00831 - 711,695 - Button.right
94.12353 - 670,738 - Button.right
94.23208 - 637,772 - Button.right
94.33366 - 637,785 - Button.right
94.44775 - 640,810 - Button.right
94.56648 - 638,822 - Button.right
94.66702 - 627,837 - Button.right
94.78707 - 629,860 - Button.right
95.18854 - 886,870 - Button.right
95.30517 - 899,919 - Button.right
95.40771 - 873,934 - Button.right
95.53414 - 852,953 - Button.right
96.30293 - 1122,778 - Button.right
96.42496 - 1121,802 - Button.right
96.49924 - 1086,863 - Button.right
96.64791 - 1087,885 - Button.right
96.72661 - 1067,898 - Button.right
96.85975 - 1002,926 - Button.right
96.96468 - 889,925 - Button.right
97.09626 - 785,946 - Button.right
97.18832 - 702,962 - Button.right
97.32342 - 643,982 - Button.right
97.41438 - 622,991 - Button.right
97.54309 - 548,994 - Button.right
97.62775 - 445,964 - Button.right
97.76109 - 442,964 - Button.right
97.87203 - 442,964 - Button.right
97.98562 - 439,965 - Button.right
98.15595 - 438,927 - Button.right
98.28458 - 429,927 - Button.right
98.83665 - 879,891 - Button.right
98.88950 - 881,895 - Button.right
99.03558 - 819,945 - Button.right
99.14037 - 818,945 - Button.right
99.32382 - 455,858 - Button.right
99.45493 - 436,867 - Button.right
99.55671 - 430,865 - Button.right
99.66799 - 474,790 - Button.right
