z,y,x,button
78.673,-47,1279,right
78.801,-109,1195,right
78.897,-106,1184,right
78.987,-104,1196,right
79.098,-122,1165,right
79.198,-126,1145,right
79.300,-125,1145,right
79.401,-125,1145,right
79.508,-110,1146,right
79.864,-317,1134,right
79.963,-324,1111,right
80.053,-337,1092,right
80.151,-411,1034,right
80.235,-408,1017,right
80.311,-433,1007,right
81.053,-428,1249,right
81.138,-387,1312,right
81.237,-274,1506,right
81.330,-252,1463,right
81.439,-188,1451,right
81.543,-177,1468,right
81.642,-177,1493,right
81.745,-186,1508,right
81.829,-183,1568,right
81.945,-200,1593,right
82.054,-89,1886,right
82.166,-115,2011,right
82.271,-174,1685,right
82.365,-221,1704,right
82.467,-214,1762,right
82.567,-207,1781,right
82.660,-200,1917,right
82.769,-218,1930,right
82.866,-201,1988,right
82.989,-204,1991,right
83.077,-200,1992,right
83.180,-203,1999,right
83.272,-186,2047,right
83.383,-190,2047,right
83.700,-312,1399,right
83.813,-324,1387,right
83.906,-305,1489,right
83.997,-370,1442,right
84.853,-1082,964,left
84.907,-1082,964,left
85.317,-552,1332,right
85.405,-591,1292,right
85.638,-608,537,right
85.742,-656,531,right
85.826,-638,507,right
85.929,-709,605,right
86.229,-667,744,right
86.338,-675,763,right
86.528,-439,1073,right
86.633,-433,1093,right
86.743,-385,1224,right
86.861,-464,1221,right
86.984,-464,1219,right
87.099,-478,1217,right
87.201,-463,1233,right
87.317,-544,1112,right
87.494,-405,1227,right
87.624,-396,1289,right
87.748,-371,1266,right
87.851,-393,1226,right
87.970,-332,1260,right
88.084,-340,1321,right
88.184,-347,1382,right
88.307,-449,1396,right
88.406,-562,1466,right
88.525,-620,1439,right
88.647,-537,1455,right
88.770,-539,1432,right
88.893,-537,1346,right
89.009,-569,1321,right
89.136,-536,1332,right
89.246,-538,1223,right
89.362,-538,1141,right
89.467,-558,1097,right
89.578,-569,1025,right
89.685,-575,934,right
89.781,-526,747,right
89.899,-528,738,right
89.998,-522,570,right
90.110,-633,452,right
90.222,-635,445,right
90.334,-710,360,right
90.463,-680,334,right
90.582,-691,320,right
91.314,-374,823,right
91.427,-372,878,right
91.544,-362,979,right
91.650,-362,1003,right
91.775,-340,1136,right
91.930,-381,1140,right
92.097,-304,1224,right
92.232,-303,770,right
92.322,-302,739,right
92.434,-322,651,right
92.515,-346,602,right
92.635,-515,510,right
92.733,-482,474,right
92.848,-515,411,right
93.232,-335,764,right
93.342,-387,1046,right
93.433,-297,1204,right
93.537,-309,1228,right
93.624,-315,1327,right
93.734,-338,1313,right
93.833,-347,1314,right
93.940,-427,1321,right
94.063,-473,1342,right
94.168,-474,1350,right
94.871,-193,1614,right
94.978,-197,1635,right
95.093,-199,1637,right
95.197,-196,1648,right
95.566,-339,1255,right
95.666,-339,1244,right
95.760,-306,1216,right
95.851,-319,1246,right
96.230,-517,1295,right
96.327,-542,1265,right
96.427,-543,1172,right
96.544,-626,900,right
96.758,-780,662,right
96.857,-768,665,right
96.965,-746,709,right
97.080,-760,683,right
97.690,-463,1097,right
97.792,-437,1214,right
97.883,-279,1475,right
97.989,-262,1464,right
98.076,-202,1538,right
98.187,-222,1536,right
103.109,-30,1888,right
103.241,-95,1940,right
103.341,-134,2029,right
103.433,-285,2047,right
103.528,-345,2047,right
103.627,-356,2044,right
103.774,-350,1620,right
103.884,-390,1507,right
103.983,-389,1517,right
104.091,-454,1507,right
104.183,-446,1521,right
104.295,-455,1502,right
104.425,-437,1420,right
104.532,-623,1263,right
104.636,-612,1249,right
104.737,-636,1222,right
104.852,-594,1074,right
104.936,-635,1001,right
105.083,-441,1078,right
105.178,-417,1087,right
105.304,-350,1097,right
105.406,-349,1095,right
105.512,-331,1065,right
105.620,-369,1022,right
105.733,-354,984,right
105.843,-369,959,right
106.516,-350,681,right
106.618,-374,763,right
106.717,-383,1029,right
106.814,-481,1039,right
106.918,-519,1110,right
107.024,-590,1025,right
107.153,-570,1049,right
107.250,-594,1044,right
107.405,-619,1070,right
107.489,-684,1067,right
107.819,-490,1302,right
107.935,-364,1383,right
108.018,-164,1517,right
108.140,-189,1555,right
108.235,-179,1663,right
108.368,-206,1684,right
108.480,-171,1806,right
108.601,-211,1776,right
108.699,-165,1749,right
108.835,-171,1740,right
108.939,-114,1708,right
109.070,-123,1669,right
109.187,-174,1639,right
109.302,-282,1626,right
109.381,-435,1805,right
109.524,-621,1818,right
109.612,-637,1830,right
109.894,-823,1771,right
109.977,-811,1775,right
110.101,-864,1766,right
