273.48737 - 637,727 - Button.right
274.01635 - 783,606 - Button.right
274.10897 - 797,637 - Button.right
274.21758 - 720,682 - Button.right
274.31707 - 729,683 - Button.right
274.45785 - 749,680 - Button.right
274.54421 - 764,683 - Button.right
274.69873 - 894,694 - Button.right
274.80722 - 880,698 - Button.right
274.93214 - 876,706 - Button.right
275.01427 - 866,701 - Button.right
275.13937 - 866,664 - Button.right
275.24209 - 853,665 - Button.right
275.37413 - 839,631 - Button.right
275.45736 - 848,623 - Button.right
275.56408 - 1046,526 - Button.right
275.66958 - 1050,526 - Button.right
275.77903 - 1059,524 - Button.right
275.86505 - 1064,531 - Button.right
275.96280 - 1055,549 - Button.right
276.06922 - 1054,550 - Button.right
277.13101 - 1018,474 - Button.right
277.23036 - 816,647 - Button.right
277.33520 - 815,683 - Button.right
277.44169 - 821,684 - Button.right
278.24227 - 821,747 - Button.right
278.33049 - 830,754 - Button.right
278.44509 - 834,779 - Button.right
278.54823 - 837,782 - Button.right
278.65489 - 843,806 - Button.right
278.75522 - 849,833 - Button.right
278.87852 - 846,834 - Button.right
278.98928 - 848,834 - Button.right
279.14340 - 866,840 - Button.right
279.25251 - 879,842 - Button.right
279.43172 - 893,863 - Button.right
279.48541 - 893,863 - Button.right
281.99202 - 792,718 - Button.right
282.12191 - 791,719 - Button.right
282.21165 - 791,719 - Button.right
282.32227 - 793,721 - Button.right
282.44434 - 792,722 - Button.right
282.54915 - 792,722 - Button.right
283.12007 - 890,574 - Button.right
283.21962 - 918,606 - Button.right
283.34854 - 936,648 - Button.right
283.45902 - 942,690 - Button.right
283.59271 - 850,803 - Button.right
283.69969 - 816,859 - Button.right
283.80179 - 809,834 - Button.right
283.89097 - 783,794 - Button.right
284.00592 - 759,614 - Button.right
284.11579 - 764,608 - Button.right
284.21883 - 776,592 - Button.right
284.32047 - 776,592 - Button.right
284.45688 - 1011,524 - Button.right
284.56266 - 1024,532 - Button.right
284.68070 - 1054,542 - Button.right
284.75426 - 1051,541 - Button.right
284.89650 - 1003,489 - Button.right
