133.26031 - 1381,309 - Button.right
133.39199 - 1018,356 - Button.right
133.48075 - 1036,365 - Button.right
133.58797 - 1038,362 - Button.right
134.12490 - 1384,599 - Button.right
134.21705 - 1381,600 - Button.right
134.35467 - 1376,534 - Button.right
134.45334 - 1383,485 - Button.right
134.57136 - 1401,485 - Button.right
134.66954 - 1317,497 - Button.right
134.79151 - 1368,426 - Button.right
134.89727 - 1408,330 - Button.right
134.99641 - 1463,342 - Button.right
135.13035 - 1352,407 - Button.right
135.22368 - 1205,545 - Button.right
135.34810 - 1059,728 - Button.right
135.42886 - 1036,791 - Button.right
135.54863 - 991,921 - Button.right
135.66181 - 990,923 - Button.right
135.76433 - 991,922 - Button.right
136.55943 - 1402,335 - Button.right
136.65329 - 1406,316 - Button.right
136.73523 - 1441,186 - Button.right
136.84615 - 1267,304 - Button.right
136.96793 - 1243,327 - Button.right
137.05315 - 1248,293 - Button.right
137.15231 - 1319,237 - Button.right
137.24624 - 1201,334 - Button.right
137.38259 - 1201,387 - Button.right
137.49486 - 1206,399 - Button.right
137.61129 - 1096,522 - Button.right
137.74187 - 856,688 - Button.right
137.80913 - 792,733 - Button.right
137.95929 - 574,881 - Button.right
137.99025 - 574,881 - Button.right
138.10793 - 568,897 - Button.right
138.17316 - 559,882 - Button.right
138.30359 - 609,882 - Button.right
138.42416 - 1313,578 - Button.right
138.53045 - 1351,524 - Button.right
138.61730 - 1366,362 - Button.right
138.75139 - 1369,358 - Button.right
138.89602 - 1362,178 - Button.right
139.02349 - 1363,178 - Button.right
139.15274 - 1374,126 - Button.right
139.26802 - 1374,119 - Button.right
140.01216 - 1344,143 - Button.right
140.12638 - 1323,164 - Button.right
140.61315 - 1079,445 - Button.right
140.78734 - 1029,592 - Button.right
140.87206 - 1030,591 - Button.right
140.96440 - 1062,560 - Button.right
141.62861 - 1734,207 - Button.right
141.72117 - 1742,208 - Button.right
141.82245 - 1782,238 - Button.right
141.94581 - 1803,234 - Button.right
143.01207 - 1106,617 - Button.right
143.13660 - 1105,653 - Button.right
143.20584 - 1068,767 - Button.right
143.34042 - 1071,767 - Button.right
143.55627 - 1497,291 - Button.right
143.65871 - 1508,269 - Button.right
