38.18268 - 743,760 - Button.right
38.30228 - 756,774 - Button.right
38.44176 - 769,788 - Button.right
38.51311 - 764,797 - Button.right
38.64513 - 764,795 - Button.right
38.72148 - 767,798 - Button.right
38.83038 - 767,797 - Button.right
38.92311 - 762,775 - Button.right
39.03751 - 764,772 - Button.right
39.12301 - 767,757 - Button.right
39.23700 - 783,749 - Button.right
39.30545 - 780,745 - Button.right
39.42206 - 801,732 - Button.right
39.52666 - 1468,412 - Button.right
39.64441 - 1542,357 - Button.right
39.72168 - 1622,337 - Button.right
39.84941 - 1658,378 - Button.right
39.93726 - 1659,463 - Button.right
40.08223 - 1625,612 - Button.right
40.49422 - 1624,692 - Button.right
40.60069 - 1622,693 - Button.right
40.73379 - 1594,692 - Button.right
40.83990 - 1450,712 - Button.right
40.96021 - 1437,732 - Button.right
41.07241 - 984,786 - Button.right
41.16507 - 864,824 - Button.right
41.28008 - 811,884 - Button.right
41.37413 - 778,896 - Button.right
41.48813 - 656,942 - Button.right
41.58025 - 637,954 - Button.right
41.67854 - 602,977 - Button.right
41.80244 - 589,934 - Button.right
41.92405 - 598,925 - Button.right
42.00961 - 704,838 - Button.right
42.14199 - 690,852 - Button.right
42.22328 - 681,867 - Button.right
42.36312 - 685,866 - Button.right
42.52846 - 1266,763 - Button.right
42.68297 - 1696,722 - Button.right
43.22209 - 1563,593 - Button.right
43.36718 - 1539,574 - Button.right
46.28026 - 828,788 - Button.right
46.38703 - 826,787 - Button.right
47.76511 - 823,786 - Button.right
47.90495 - 823,786 - Button.right
49.00124 - 667,806 - Button.right
49.10744 - 667,806 - Button.right
49.21028 - 681,807 - Button.right
49.30188 - 679,807 - Button.right
49.43025 - 705,791 - Button.right
49.53814 - 735,783 - Button.right
49.62330 - 791,778 - Button.right
49.73410 - 781,779 - Button.right
49.82574 - 781,779 - Button.right
49.93841 - 771,769 - Button.right
50.03319 - 853,722 - Button.right
50.12626 - 681,787 - Button.right
50.23324 - 677,768 - Button.right
50.30007 - 677,768 - Button.right
50.49176 - 1204,621 - Button.right
50.59848 - 1305,579 - Button.right
50.69821 - 1329,482 - Button.right
50.81806 - 1349,465 - Button.right
50.91724 - 1350,444 - Button.right
51.04540 - 1349,444 - Button.right
51.20211 - 1349,444 - Button.right
51.27633 - 1349,438 - Button.right
51.67227 - 1294,380 - Button.right
51.76168 - 1244,373 - Button.right
52.68315 - 789,1081 - Button.left
52.75931 - 789,1081 - Button.left
53.62305 - 759,696 - Button.right
53.65930 - 747,725 - Button.right
53.84367 - 719,768 - Button.right
53.93136 - 703,807 - Button.right
54.03194 - 684,824 - Button.right
54.10733 - 673,822 - Button.right
54.19561 - 672,822 - Button.right
