448.23200-1290,430-516
448.43300-1319,468-516
448.62000-1329,479-516
449.13300-1325,427-516
449.36700-1326,457-516
449.75300-1366,370-516
449.96700-1206,317-516
450.22700-1174,327-516
450.93400-1302,419-516
451.13400-1403,331-516
451.49100-1296,313-516
451.69200-1332,292-516
451.92600-1350,291-516
452.12500-1356,226-516
452.37600-1263,224-516
452.61900-1245,214-516
452.83600-1165,177-516
453.33100-1232,149-516
453.56600-1248,126-516
453.78700-1316,208-516
453.99200-1346,285-516
454.20900-1357,288-516
454.58800-1269,242-516
454.77900-1084,173-516
454.96800-1093,178-516
455.19400-1231,172-516
457.53900-1278,247-516
457.70500-1286,258-516
459.14300-1332,172-516
459.30700-1252,149-516
459.67600-1189,285-516
459.87600-1159,223-516
460.10500-1149,185-516
460.31900-1169,192-516
460.57100-1301,187-516
460.78200-1300,184-516
461.07500-1275,174-516
461.30600-1246,182-516
461.53300-1191,175-516
461.79200-1174,181-516
462.02500-1160,179-516
462.24200-1115,217-516
462.45700-1066,240-516
462.69300-1063,275-516
462.93000-1196,246-516
463.16200-1210,263-516
463.38200-1220,256-516
463.63700-1248,260-516
463.86900-1264,280-516
464.10400-1284,282-516
464.31800-1330,282-516
464.53700-1335,294-516
464.75700-1288,347-516
465.72600-1022,89-516
465.95000-1059,0-516
466.19500-1042,360-516
466.43300-1038,321-516
466.64000-1032,335-516
467.04100-1040,325-516
467.20600-1257,307-516
467.41000-1251,347-516
467.64900-1237,344-516
467.91000-1077,339-516
468.14200-1073,340-516
468.35800-1050,397-516
468.74200-1180,336-516
468.93400-1209,334-516
469.15300-1250,349-516
469.38000-1250,347-516
469.63900-1247,315-516
469.88300-1234,284-516
470.10300-1147,243-516
470.34000-1156,220-516
470.58000-1150,205-516
470.78600-1195,222-516
471.00600-1254,242-516
471.23000-1260,260-516
471.46800-1278,287-516
471.72200-1305,219-516
471.94300-1219,175-516
472.18800-1186,208-516
472.41100-1169,230-516
472.63300-1090,218-516
472.87500-1073,218-516
473.11800-1029,227-516
473.33600-1200,277-516
473.55500-1233,285-516
473.77700-1229,293-516
473.99600-1242,274-516
474.21800-1254,254-516
474.44400-1255,209-516
474.64600-1170,77-516
474.89400-1099,115-516
475.12500-1055,17-516
476.09300-1303,371-516
476.26900-1287,403-516
