142.99504 - 617,832 - Button.right
144.91821 - 905,604 - Button.right
145.04141 - 347,896 - Button.right
145.10885 - 367,875 - Button.right
145.22232 - 366,930 - Button.right
145.30272 - 363,933 - Button.right
145.42473 - 351,941 - Button.right
145.50138 - 334,934 - Button.right
145.61184 - 224,963 - Button.right
145.69531 - 157,974 - Button.right
145.82139 - 152,974 - Button.right
145.90176 - 129,979 - Button.right
146.02517 - 0,1148 - Button.right
146.48156 - 512,748 - Button.right
146.56946 - 488,735 - Button.right
146.66622 - 366,737 - Button.right
146.77308 - 327,740 - Button.right
148.76968 - 600,540 - Button.right
148.84827 - 601,521 - Button.right
148.95230 - 633,428 - Button.right
149.06488 - 648,434 - Button.right
149.43648 - 1183,687 - Button.right
149.55101 - 1136,759 - Button.right
149.65212 - 1155,759 - Button.right
149.74724 - 1163,757 - Button.right
149.85086 - 1350,721 - Button.right
149.96482 - 1352,722 - Button.right
151.64667 - 1152,573 - Button.right
151.73083 - 750,715 - Button.right
151.81669 - 333,782 - Button.right
151.94343 - 326,739 - Button.right
152.00728 - 332,738 - Button.right
152.29683 - 189,819 - Button.right
152.38772 - 202,805 - Button.right
152.50529 - 216,811 - Button.right
152.56880 - 225,809 - Button.right
152.69104 - 225,809 - Button.right
152.76462 - 205,804 - Button.right
152.87804 - 159,832 - Button.right
153.46411 - 712,821 - Button.right
153.56779 - 731,835 - Button.right
157.97912 - 1318,1259 - Button.left
158.07450 - 1318,1259 - Button.left
162.62560 - 1279,374 - Button.right
162.75773 - 1279,374 - Button.right
163.76546 - 1884,1126 - Button.left
163.86711 - 1882,1124 - Button.left
167.72626 - 674,721 - Button.right
167.80874 - 667,723 - Button.right
167.91372 - 643,748 - Button.right
168.01316 - 618,765 - Button.right
168.10428 - 609,776 - Button.right
168.20015 - 598,785 - Button.right
168.29303 - 659,787 - Button.right
168.39503 - 652,795 - Button.right
168.46904 - 646,797 - Button.right
168.58572 - 648,802 - Button.right
169.47166 - 1213,588 - Button.right
169.56936 - 768,751 - Button.right
169.65184 - 598,811 - Button.right
169.74117 - 561,832 - Button.right
169.83625 - 598,848 - Button.right
169.91773 - 706,849 - Button.right
170.72435 - 1490,499 - Button.right
170.83903 - 1165,814 - Button.right
170.92426 - 1033,835 - Button.right
171.03268 - 770,907 - Button.right
171.10965 - 574,961 - Button.right
171.22633 - 466,1022 - Button.right
171.31136 - 439,1023 - Button.right
171.41663 - 434,1024 - Button.right
171.50730 - 431,1028 - Button.right
171.63238 - 426,1038 - Button.right
171.72672 - 410,1044 - Button.right
171.84492 - 342,1047 - Button.right
171.92662 - 289,1029 - Button.right
172.04629 - 282,1025 - Button.right
172.14740 - 281,1023 - Button.right
172.26033 - 268,1025 - Button.right
172.34895 - 236,1013 - Button.right
172.47132 - 156,1014 - Button.right
172.57140 - 0,1020 - Button.right
172.62207 - 0,1045 - Button.right
174.29232 - 1322,703 - Button.right
174.37854 - 1294,797 - Button.right
174.48726 - 1289,866 - Button.right
174.58935 - 1160,988 - Button.right
174.67801 - 1033,1070 - Button.right
174.79039 - 904,1124 - Button.right
175.09076 - 681,893 - Button.right
175.19243 - 652,900 - Button.right
175.28329 - 594,907 - Button.right
175.38323 - 587,916 - Button.right
176.34222 - 870,1101 - Button.left
176.42930 - 870,1101 - Button.left
176.70275 - 1016,832 - Button.right
176.81417 - 994,859 - Button.right
176.94127 - 887,875 - Button.right
177.04227 - 862,732 - Button.right
177.13677 - 864,609 - Button.right
177.23970 - 809,602 - Button.right
177.32386 - 876,539 - Button.right
177.43019 - 919,520 - Button.right
177.79410 - 1164,366 - Button.right
177.90184 - 1165,380 - Button.right
177.99568 - 1201,408 - Button.right
178.08854 - 1212,407 - Button.right
179.72580 - 1465,363 - Button.right
179.81961 - 805,738 - Button.right
179.90050 - 622,813 - Button.right
180.01491 - 597,820 - Button.right
180.08188 - 560,822 - Button.right
180.18552 - 538,832 - Button.right
180.28144 - 536,832 - Button.right
180.39065 - 521,835 - Button.right
180.48342 - 510,832 - Button.right
180.59284 - 457,848 - Button.right
180.68148 - 427,840 - Button.right
180.78469 - 394,851 - Button.right
180.87589 - 390,852 - Button.right
180.99447 - 386,853 - Button.right
181.08987 - 364,852 - Button.right
181.22043 - 332,860 - Button.right
181.86491 - 357,1193 - Button.right
181.97528 - 358,1189 - Button.right
182.25150 - 625,892 - Button.right
182.36546 - 670,909 - Button.right
182.45476 - 681,915 - Button.right
182.55685 - 684,916 - Button.right
182.65601 - 770,899 - Button.right
182.76539 - 793,907 - Button.right
182.86842 - 841,895 - Button.right
183.00265 - 845,893 - Button.right
183.12558 - 951,841 - Button.right
183.23740 - 956,838 - Button.right
183.36923 - 1024,758 - Button.right
183.48252 - 1034,736 - Button.right
183.57314 - 1072,681 - Button.right
183.69544 - 1079,677 - Button.right
183.78143 - 1180,605 - Button.right
183.88894 - 1233,567 - Button.right
184.54964 - 1550,505 - Button.right
184.63344 - 1501,521 - Button.right
184.71858 - 1482,527 - Button.right
184.81389 - 1470,538 - Button.right
185.38401 - 1111,402 - Button.right
185.51091 - 1012,448 - Button.right
185.60239 - 1001,446 - Button.right
185.71662 - 999,446 - Button.right
185.86862 - 861,472 - Button.right
185.97724 - 818,477 - Button.right
186.08552 - 799,479 - Button.right
186.19594 - 781,477 - Button.right
186.30359 - 744,467 - Button.right
186.42564 - 735,462 - Button.right
186.89746 - 824,376 - Button.right
186.98897 - 781,410 - Button.right
187.10662 - 784,465 - Button.right
187.20660 - 757,560 - Button.right
187.33326 - 888,697 - Button.right
187.44755 - 862,794 - Button.right
187.54202 - 878,839 - Button.right
187.65034 - 881,872 - Button.right
187.78792 - 1034,785 - Button.right
187.90558 - 1163,681 - Button.right
188.40888 - 1415,424 - Button.right
188.50581 - 1343,488 - Button.right
188.60057 - 1348,494 - Button.right
188.71097 - 1414,466 - Button.right
189.32370 - 1061,497 - Button.right
189.41388 - 1061,495 - Button.right
189.53294 - 1198,392 - Button.right
189.62261 - 1196,391 - Button.right
191.08705 - 562,803 - Button.right
191.19642 - 360,900 - Button.right
191.29212 - 354,975 - Button.right
191.40204 - 327,998 - Button.right
191.49588 - 324,1002 - Button.right
191.59510 - 324,1001 - Button.right
193.48106 - 1181,439 - Button.right
193.58459 - 794,667 - Button.right
193.66726 - 621,710 - Button.right
193.78839 - 267,830 - Button.right
193.86519 - 219,850 - Button.right
193.98714 - 157,924 - Button.right
194.07710 - 116,969 - Button.right
194.16406 - 119,977 - Button.right
195.16358 - 1040,690 - Button.right
195.26023 - 313,915 - Button.right
195.35497 - 249,926 - Button.right
195.46705 - 160,990 - Button.right
