66.55163 - 1084,1025 - Button.right
66.62979 - 1112,1048 - Button.right
66.72648 - 1338,1104 - Button.right
66.83148 - 1411,1107 - Button.right
67.28197 - 1577,981 - Button.right
67.36330 - 1579,980 - Button.right
67.46009 - 1664,995 - Button.right
67.54754 - 1953,1058 - Button.right
68.08904 - 1534,976 - Button.right
68.15935 - 1524,982 - Button.right
68.26778 - 1499,984 - Button.right
68.37169 - 1387,1004 - Button.right
68.45851 - 1287,996 - Button.right
68.56284 - 1287,996 - Button.right
68.65127 - 1302,993 - Button.right
68.76043 - 1308,995 - Button.right
68.87443 - 1377,986 - Button.right
68.96954 - 1379,982 - Button.right
69.07592 - 1482,938 - Button.right
69.18433 - 1483,937 - Button.right
69.28610 - 1519,897 - Button.right
69.38737 - 1520,896 - Button.right
69.49136 - 1531,874 - Button.right
69.58428 - 1531,874 - Button.right
69.69014 - 1562,807 - Button.right
69.79893 - 1567,793 - Button.right
69.90301 - 1608,740 - Button.right
70.01020 - 1611,741 - Button.right
70.13136 - 1620,708 - Button.right
70.22443 - 1620,707 - Button.right
70.35334 - 1643,633 - Button.right
70.45439 - 1645,626 - Button.right
70.56010 - 1659,614 - Button.right
70.68336 - 1657,614 - Button.right
70.76247 - 1655,611 - Button.right
70.88054 - 1658,609 - Button.right
70.96526 - 1660,581 - Button.right
71.07943 - 1660,580 - Button.right
71.17447 - 1658,568 - Button.right
71.28917 - 1657,567 - Button.right
71.38316 - 1656,566 - Button.right
71.51264 - 1650,568 - Button.right
71.62065 - 1649,569 - Button.right
71.74300 - 1641,575 - Button.right
71.84241 - 1640,575 - Button.right
71.95919 - 1623,595 - Button.right
72.37347 - 1504,648 - Button.right
72.48018 - 1496,656 - Button.right
72.58450 - 1493,668 - Button.right
72.70514 - 1478,675 - Button.right
72.96541 - 1433,647 - Button.right
73.10954 - 1414,647 - Button.right
73.19161 - 1413,646 - Button.right
73.28164 - 1410,647 - Button.right
73.36986 - 1398,646 - Button.right
73.48206 - 1391,644 - Button.right
73.58045 - 1380,644 - Button.right
73.70382 - 1380,644 - Button.right
73.78944 - 1380,644 - Button.right
73.90949 - 1379,643 - Button.right
74.09440 - 1389,651 - Button.right
74.13250 - 1377,652 - Button.right
75.02448 - 1520,733 - Button.right
75.14053 - 1520,733 - Button.right
75.26146 - 1528,716 - Button.right
75.37737 - 1528,716 - Button.right
75.47938 - 1521,732 - Button.right
75.63187 - 1528,772 - Button.right
76.00615 - 1346,730 - Button.right
76.12160 - 1342,753 - Button.right
76.21107 - 1309,764 - Button.right
76.33399 - 1311,761 - Button.right
76.79552 - 1261,365 - Button.right
76.89120 - 1262,367 - Button.right
76.97949 - 1255,379 - Button.right
77.09704 - 1222,406 - Button.right
78.27050 - 1685,278 - Button.right
78.39822 - 1689,274 - Button.right
78.45878 - 1681,274 - Button.right
78.56959 - 1680,273 - Button.right
78.67751 - 1495,344 - Button.right
78.97519 - 1562,285 - Button.right
79.06860 - 1568,312 - Button.right
79.18433 - 1588,316 - Button.right
79.28144 - 1590,342 - Button.right
79.39116 - 1592,343 - Button.right
79.48847 - 1593,344 - Button.right
79.63770 - 1593,344 - Button.right
79.88312 - 1600,353 - Button.right
79.98482 - 1600,353 - Button.right
86.02858 - 1028,933 - Button.right
86.13768 - 1024,933 - Button.right
86.22911 - 946,968 - Button.right
86.29967 - 940,967 - Button.right
86.41229 - 805,1013 - Button.right
86.47565 - 805,1013 - Button.right
86.56873 - 796,1028 - Button.right
86.66296 - 688,1114 - Button.right
87.90860 - 1398,318 - Button.right
88.00628 - 1444,303 - Button.right
88.08671 - 1486,307 - Button.right
88.19697 - 1418,305 - Button.right
88.27153 - 1428,326 - Button.right
88.37501 - 1428,324 - Button.right
88.46244 - 1452,311 - Button.right
88.57730 - 1454,303 - Button.right
88.65985 - 1476,270 - Button.right
88.78459 - 1476,284 - Button.right
88.86310 - 1471,287 - Button.right
88.98436 - 1460,307 - Button.right
89.06282 - 1456,307 - Button.right
89.16770 - 1398,351 - Button.right
89.23913 - 1309,399 - Button.right
89.33588 - 962,694 - Button.right
89.41693 - 932,725 - Button.right
89.53137 - 729,882 - Button.right
89.61469 - 724,890 - Button.right
89.72676 - 679,950 - Button.right
89.81588 - 678,951 - Button.right
89.94596 - 682,962 - Button.right
90.03366 - 679,968 - Button.right
90.16630 - 638,1024 - Button.right
90.26688 - 580,1051 - Button.right
90.39306 - 463,1147 - Button.right
